Unnamed: 0,barangay,name_original,address,address_clean,major_division,sub_division,category,data_source,open_hours,close_hours,latitude,longitude,district
62,Bahay Toro,active-pt cares physical therapy services,"g/f, northridge plaza, 12, congressional ave, bahay toro, quezon city, ncr, 1106","g/f, northridge plaza, 12, congressional ave, bahay toro, quezon city, ncr, 1106, Philippines",Long-term care and rehabilitation services,,Physical therapy clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",12:00AM,12:00AM,14.670708,121.039056,1.0
63,Bahay Toro,San Jose Seminary II,Road 19 Bahay Toro Proj. 8,"Road 19 Bahay Toro Proj. 8, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.66468785,121.0200075,1.0
64,Bahay Toro,connecting bridges child services inc.,"unit 21, 2nd flr. wilcon city center, no. 121 visayas ave., bahay toro, quezon city, ncr, 1106","unit 21, 2nd Floor wilcon city center, 121 visayas Avenue, bahay toro, quezon city, ncr, 1106, Philippines",Long-term care and rehabilitation services,,Therapeutic clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.666404,121.042691,1.0
65,Bahay Toro,horizons of hope therapy center inc.,"2, wisdom st. , teresa village, bahay toro, quezon city, ncr, 1106","2, wisdom Street , teresa village, bahay toro, quezon city, ncr, 1106, Philippines",Long-term care and rehabilitation services,,Physical/occupational therapy school,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.66627898,121.0403604,1.0
66,Bahay Toro,"haven of opportunities for people with exceptionalities (hope), inc.","35b, shorthorn street, project 8, bahay toro, quezon city, ncr, 1106","35b, shorthorn street, project 8, bahay toro, quezon city, ncr, 1106, Philippines",Long-term care and rehabilitation services,,Physical/occupational therapy school,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.6666763,121.0210931,1.0
67,Bahay Toro,exxcellent home care services,"26 , road 11, project 8, bahay toro, quezon city, ncr, 1106","26 , road 11, project 8, bahay toro, quezon city, ncr, 1106, Philippines",Older persons care,,Nursing care center,"QC Future Ready dashboard, Older persons care",8:00AM,12:00AM,14.6641365,121.0217462,1.0
68,Bahay Toro,San Jose Seminary I,"Road 19 Bahay Toro, Proj. 8","Road 19 Bahay Toro, Proj. 8, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.66468785,121.0200075,1.0
69,Bahay Toro,Sitio Maligaya II,14 Bayanihan Drive,"14 Bayanihan Drive, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.6683198,121.0237079,1.0
70,Bahay Toro,apo senior living corporation,"unit 310 & 312, 7 general avenue, project 8, bahay toro, quezon city, ncr, 1106","unit 310 & 312, 7 general avenue, project 8, bahay toro, quezon city, ncr, 1106, Philippines",Older persons care,,Nursing care center,"QC Future Ready dashboard, Older persons care",8:00AM,5:00PM,14.6710737,121.0245703,1.0
71,Bahay Toro,bricks developmental learning center,"#3-b, calla lily st., bahay toro, quezon city, ncr, 1106","#3-b, calla lily Street, bahay toro, quezon city, ncr, 1106, Philippines",Long-term care and rehabilitation services,,Therapeutic clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.6703104,121.033011,1.0
72,Bahay Toro,"ste. anne de beaupre school, inc.","faith st., 7 teresa village, bahay toro, quezon city, ncr, 1106","faith Street, 7 teresa village, bahay toro, quezon city, ncr, 1106, Philippines",Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,5:00PM,14.6662007,121.0390028,1.0
73,Bahay Toro,thinkerbel kids play and learning center inc.,"23 sf-11, congressional town center, congressional ave., bahay toro, quezon city, ncr, 1106","23 sf-11, congressional town center, congressional Avenue, bahay toro, quezon city, ncr, 1106, Philippines",Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,5:00PM,14.6713108,121.0400152,1.0
