,barangay,district,name_original,address,address_clean,major_division,sub_division,category,data_source,open_hours,close_hours,latitude,longitude
50,Bagong Silangan,2,Sitio Veterans II,"Second Floor, Sitio Veterans CDC, Lot 1 Block 18, Dove St., Area 1 Sitio Veterans, corner Don Vicente St., Brgy. Bagong Silangan","Second Floor, Sitio Veterans CDC, Lot 1 Block 18, Dove Street, Area 1 Sitio Veterans, corner Don Vicente Street, Barangay Bagong Silangan, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.7015502,121.1034887
51,Bagong Silangan,2,Bakas,"052A Bakas Compound, Brgy. Bagong Silangan","052A Bakas Compound, Barangay Bagong Silangan, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.7017153,121.110362
52,Bagong Silangan,2,Area 5,"Lot 1 Block 18, Baesang Pass St., Area 5, Sitio Veterans, Brgy. Bagong Silangan","Lot 1 Block 18, Baesang Pass Street, Area 5, Sitio Veterans, Barangay Bagong Silangan, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.7017153,121.110362
53,Bagumbayan,3,solid fundevmentals therapy center inc.,"unit a312 3rd flr., eastwood mall, orchard rd eastwood city, bagumbayan, quezon city, ncr, 1110","unit a312 3rd Floor, eastwood mall, orchard rd eastwood city, bagumbayan, quezon city, ncr, 1110, Philippines",Long-term care and rehabilitation services,#N/A,Rehabilitation clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.6109413,121.0802326
54,Bagumbayan,3,peak physical therapy & scoliosis center corp.,"space a , one orchard eastwood city cyberpark, 188, e. rodriguez jr. avenue, bagumbayan, quezon city, ncr, 1110","space a , one orchard eastwood city cyberpark, 188, e. rodriguez jr. avenue, bagumbayan, quezon city, ncr, 1110, Philippines",Long-term care and rehabilitation services,#N/A,Physical therapy clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.60621102,121.079558
55,Bagumbayan,3,all ways therapy center corp.,"unit i29-i30, the strip at circulo verde, calle industria, bagumbayan, quezon city, ncr, 1110","unit i29-i30, the strip at circulo verde, calle industria, bagumbayan, quezon city, ncr, 1110, Philippines",Long-term care and rehabilitation services,#N/A,Physical/occupational therapy school,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.6068,121.08
56,Bagumbayan,3,thames international school inc.,"no. 27, calle industria st., bagumbayan, quezon city, ncr, 1110","27, calle industria Street, bagumbayan, quezon city, ncr, 1110, Philippines",Schools,Private,Private school,"QC Future Ready dashboard, Schools",6:00AM,6:00PM,14.60486485,121.0847506
57,Bagumbayan,3,Bagumbayan,"75 San Roque St., Brgy. Bagumbayan","75 San Roque Street, Barangay Bagumbayan, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.60863519,121.0823074
58,Bagumbuhay,3,Bagumbuhay,"Plaza Malvar, Malvar St., Brgy. Bagumbuhay","Plaza Malvar, Malvar Street, Barangay Bagumbuhay, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.6250583,121.0651218
59,Bagumbuhay,3,Project 4,"Kalantiaw st. cor. P. Tuazon, Brgy. Bagumbuhay","Kalantiaw Street corner P. Tuazon, Barangay Bagumbuhay, Quezon City, Philippines",Health centers,#N/A,Health centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",#N/A,#N/A,14.62214091,121.0653726
60,Bahay Toro,1,grace gospel church north education foundation inc.,"3rd flr., northridge plaza, annex a,, 12, congressional ave., bahay toro, quezon city, ncr, 1106","3rd Floor, northridge plaza, annex a, 12, congressional Avenue, bahay toro, quezon city, ncr, 1106, Philippines",Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",7:00AM,12:00PM,14.670708,121.039056
