name_original,address,barangay,district,major_division,sub_division,category,source_reference,latitude,longitude,open_hours,close_hours,frequency_mon_fri,frequency_saturday,frequency_sunday,bus_route,data_source
San Francisco Super,H. Francisco cor. San Vicente St. Brgy Damayan,Damayan,1.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6393843,121.0146708,,,,,,,Administrative data
San Francisco Super Health Centers,"H. San Francisco St. corner San Vicente St., Brgy. Damayan",Damayan,1.0,Health centers,,Super health care center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6395624,121.0150506,,,,,,,Administrative data
San Jose,"27 Tinagan St., Brgy. San Jose",San Jose,1.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6408455,120.9939398,,,,,,,Administrative data
San Vicente,"#14 Maayusin Ext., Brgy. San Vicente",San Vicente,4.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6529605,121.0565309,,,,,,,Administrative data
San Vicente Sentrong Sigla Health Center,"#14 Maayusin Ext., Brgy. San Vicente",San Vicente,4.0,Health centers,,Health center pharmacy,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6529605,121.0565309,,,,,,,Administrative data
Sangandaan,"Premium St., Brgy. Sangandaan",Sangandaan,6.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6739725,121.0206637,,,,,,,Administrative data
Sauyo,"Greenville Drive, Brgy. Sauyo",Sauyo,6.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.687443,121.0365682,,,,,,,Administrative data
Socorro,"139 15th Avenue, Brgy. Socorro",Socorro,3.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6215975,121.058179,,,,,,,Administrative data
Sta. Lucia Lying-In Clinic,"Sta. Lucia Ave., Brgy. Sta Lucia",Sta. Lucia,5.0,Health centers,,LGU-run lying-in clinic,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.7048475,121.0557351,,,,,,,Administrative data
Sta. Lucia Super,"Sta. Lucia Ave., Brgy. Sta. Lucia",Sta. Lucia,5.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.7048475,121.0557351,,,,,,,Administrative data
Sta. Lucia Super Health Center,"Sta. Lucia Ave., Brgy. Sta. Lucia",Sta. Lucia,5.0,Health centers,,Health center pharmacy,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.7048475,121.0557351,,,,,,,Administrative data
Sta. Lucia Super Health Centers,"Sta. Lucia Avenue, Brgy. Sta. Lucia",Sta. Lucia,5.0,Health centers,,Super health care center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.7048475,121.0557351,,,,,,,Administrative data
Tandang Sora,"506 Quirino Highway, Talipapa People Civic Center, Brgy. Talipapa",Talipapa,6.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.687658,121.025464,,,,,,,Administrative data
Tatalon,"33 Victory Ave., Brgy. Tatalon",Tatalon,4.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6221337,121.0121619,,,,,,,Administrative data
Toro Hills,"Road 11, Brgy. Bahay Toro",Bahay Toro,1.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6647356,121.0216614,,,,,,,Administrative data
Veterans,"6 Faustino St., Brgy Holy Spirit",Holy Spirit,2.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6838709,121.0762162,,,,,,,Administrative data
Wenceslao Dela Paz (Culiat),"Sta. Felicia St. , San Antonio Homes, Brgy. Culiat",Culiat,6.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6669132,121.0570919,,,,,,,Administrative data
A Samson Lying in Clinic,"161 Kaingin Rd, Balingasa, Quezon City",Apolonio Samson,6.0,Health centers,,Lying-in clinic,For Validation,14.6513477,121.0098211,,,,,,,Google API - For Validation
Angelyn Birthing Homes (Lying-in Clinic),"237 Quirino Hwy, Quezon City",Baesa,6.0,Health centers,,Lying-in clinic,For Validation,14.672509,121.012403,,,,,,,Google API - For Validation
PNP General Hospital,"Camp Panopio, P. Tuazon Blvd. Corner EDSA Main Avenue, Kaunlaran, Cubao, Quezon City",Bagong Lipunan Ng Crame,4.0,Health centers,,Private hospital,For Validation,14.6156163,121.0519252,,,,,,,Google API - For Validation
PNP-Camp Crame General Hospital,"J353+W2M, Quezon City",Bagong Lipunan Ng Crame,4.0,Health centers,,Private hospital,For Validation,14.6098344,121.0525607,,,,,,,Google API - For Validation
Private Hospitals Association Philippines,"Bldg 2/F, PMA Building, North Avenue, North Ave, Bagong Pag-asa, Diliman, Quezon City",Bagong Pag-Asa,1.0,Health centers,,Private hospital,For Validation,14.6550606,121.0335845,,,,,,,Google API - For Validation
Anarch Lying In,"M29F+VWX, Rd 20, Project 8, Quezon City",Bahay Toro,1.0,Health centers,,Lying-in clinic,For Validation,14.669744,121.0248489,,,,,,,Google API - For Validation
Melayne Lying-In Clinic,"Commonwealth Avenue, New Era (Constitution Hills) , Commonwealth , 1121 Quezon City , Metro Manila",Batasan Hills,2.0,Health centers,,Lying-in clinic,For Validation,14.6924858,121.0877997,,,,,,,Google API - For Validation
Jesus The Savior Hospital,"J2XG+VRH, Sto Angel Road Sta Cruz Laguna, Quezon City",Bungad,1.0,Health centers,,Private hospital,For Validation,14.6496925,121.0270942,,,,,,,Google API - For Validation
New Camp General Emilio Aguinaldo Station Hospital,"J379+FGQ, Camp Aguinaldo, Quezon City",Camp Aguinaldo,3.0,Health centers,,Private hospital,For Validation,14.6137165,121.0688623,,,,,,,Google API - For Validation
Old Camp General Emilio Aguinaldo Station Hospital,"J367+WJ8, Camp Aguinaldo, Quezon City",Camp Aguinaldo,3.0,Health centers,,Private hospital,For Validation,14.6122935,121.0640763,,,,,,,Google API - For Validation
