,barangay,name_original,address,district,major_division,sub_division,category,data_source,address_clean,latitude,longitude,open_hours,close_hours
61,Batasan Hills,Kalayaan B3,"Lot No. 41-C-3, Kalayaan B St., Brgy. Batasan Hills",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Lot 41-C-3, Kalayaan B Street, Barangay Batasan Hills, Quezon City, Philippines",14.68877871,121.0929834,#N/A,#N/A
62,Batasan Hills,Freedom Park 3 & 4,"Fortune St., Brgy. Batasan Hills",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Fortune Street, Barangay Batasan Hills, Quezon City, Philippines",14.6847203,121.0977359,#N/A,#N/A
63,Batasan Hills,Freedom Park 5,"Jordan St., Freedom Park 5, Brgy. Batasan Hills",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Jordan Street, Freedom Park 5, Barangay Batasan Hills, Quezon City, Philippines",14.69346482,121.0903964,#N/A,#N/A
64,Batasan Hills,De Gloria,"De Gloria Taniman Ext. Talanay Area, Brgy. Batasan Hills",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","De Gloria Taniman Extension Talanay Area, Barangay Batasan Hills, Quezon City, Philippines",14.6847203,121.0977359,#N/A,#N/A
65,Commonwealth,Kasunduan,"Ground floor, Kasunduan Multi-purpose Hall, Unit 2, Kasunduan Extension, Brgy. Commonwealth",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Ground floor, Kasunduan Multi-purpose Hall, Unit 2, Kasunduan Extension, Barangay Commonwealth, Quezon City, Philippines",14.69708145,121.0928213,#N/A,#N/A
66,Commonwealth,Kaunlaran,"Lot 9A, Unit 2, Kaunlaran St., Brgy. Commonwealth",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Lot 9A, Unit 2, Kaunlaran Street, Barangay Commonwealth, Quezon City, Philippines",14.6989133,121.0897562,#N/A,#N/A
67,Commonwealth,Litex,"Payatas Road corner Bayanihan St., Brgy. Commonwealth",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Payatas Road corner Bayanihan Street, Barangay Commonwealth, Quezon City, Philippines",14.71257145,121.0904331,#N/A,#N/A
68,Commonwealth,Soliven,"Commonwealth Heights, Soliven St. corner President Quezon St., Brgy. Commonwealth",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Commonwealth Heights, Soliven Street corner President Quezon Street, Barangay Commonwealth, Quezon City, Philippines",14.70203876,121.0871636,#N/A,#N/A
69,Commonwealth,E. Castillo,"E. Castillo St., Brgy. Commonwealth",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","E. Castillo Street, Barangay Commonwealth, Quezon City, Philippines",14.70031471,121.0845014,#N/A,#N/A
70,Commonwealth,Don Fabian,"Don Fabian, Brgy. Commonwealth",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Don Fabian, Barangay Commonwealth, Quezon City, Philippines",14.70305817,121.0826236,#N/A,#N/A
71,Commonwealth,Gold,"Gold St., near Commonwealth Highschool, Brgy. Commonwealth",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Gold Street, near Commonwealth Highschool, Barangay Commonwealth, Quezon City, Philippines",14.68314122,121.1072695,#N/A,#N/A
72,Commonwealth,Unit IV,"Unit IV, Plaza Riverside, Brgy. Commonwealth",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Unit IV, Plaza Riverside, Barangay Commonwealth, Quezon City, Philippines",14.7060131,121.0869798,#N/A,#N/A
73,Commonwealth,Unit V,"Ground floor, DCC Paulate Bldg., Bato bato St., Brgy. Commonwealth",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Ground floor, DCC Paulate Building, Bato bato Street, Barangay Commonwealth, Quezon City, Philippines",14.67432778,121.0622776,#N/A,#N/A
74,Commonwealth,Upper Nawasa,"Unit VII Upper NAWASA, Brgy. Commonwealth",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Unit VII Upper NAWASA, Barangay Commonwealth, Quezon City, Philippines",14.7060131,121.0869798,#N/A,#N/A
75,Commonwealth,Pinadama,"Pinadama Pilot Drive, Brgy. Commonwealth",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Pinadama Pilot Drive, Barangay Commonwealth, Quezon City, Philippines",14.7060131,121.0869798,#N/A,#N/A
76,Commonwealth,Purok 12,"Purok 12, Adarna St., Brgy. Commonwealth",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Purok 12, Adarna Street, Barangay Commonwealth, Quezon City, Philippines",14.67720498,121.063943,#N/A,#N/A
77,Commonwealth,Purok 15,"Purok 15, Pinagnayon St., Brgy. Commonwealth",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Purok 15, Pinagnayon Street, Barangay Commonwealth, Quezon City, Philippines",14.67720498,121.0643996,#N/A,#N/A
78,Commonwealth,Purok 16,"Unit V, Purok 16, Brgy. Commonwealth",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Unit V, Purok 16, Barangay Commonwealth, Quezon City, Philippines",14.7060131,121.0869798,#N/A,#N/A
79,Commonwealth,Purok 20,"Unit V, Purok 20, Brgy. Commonwealth",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Unit V, Purok 20, Barangay Commonwealth, Quezon City, Philippines",14.7060131,121.0869798,#N/A,#N/A
80,Commonwealth,Lower Nawasa,"Purok 6, Unit 7 Lower NAWASA, Brgy. Commonwealth",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Purok 6, Unit 7 Lower NAWASA, Barangay Commonwealth, Quezon City, Philippines",14.7060131,121.0869798,#N/A,#N/A
81,Commonwealth,Gravel Pit,"St. Paulia St., Gravel Pit, Brgy. Commonwealth",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Street Paulia Street, Gravel Pit, Barangay Commonwealth, Quezon City, Philippines",14.7060131,121.0869798,#N/A,#N/A
82,Bagong Silangan,Bagong Silangan,"Lot 1, Block 18, Bonifacio St., corner Geronimo St. (beside Brgy. Hall), Brgy. Bagong Silangan",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Lot 1, Block 18, Bonifacio Street, corner Geronimo Street (beside Barangay Hall), Barangay Bagong Silangan, Quezon City, Philippines",14.69783209,121.1102098,#N/A,#N/A
83,Bagong Silangan,Sitio Veterans I,"Ground Floor, Sitio Veterans CDC, Lot 1 Block 18, Dove St., Area 1 Sitio Veterans, corner Don Vicente St., Brgy. Bagong Silangan",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Ground Floor, Sitio Veterans CDC, Lot 1 Block 18, Dove Street, Area 1 Sitio Veterans, corner Don Vicente Street, Barangay Bagong Silangan, Quezon City, Philippines",14.7015502,121.1034887,#N/A,#N/A
84,Bagong Silangan,Sitio Veterans II,"Second Floor, Sitio Veterans CDC, Lot 1 Block 18, Dove St., Area 1 Sitio Veterans, corner Don Vicente St., Brgy. Bagong Silangan",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Second Floor, Sitio Veterans CDC, Lot 1 Block 18, Dove Street, Area 1 Sitio Veterans, corner Don Vicente Street, Barangay Bagong Silangan, Quezon City, Philippines",14.7015502,121.1034887,#N/A,#N/A
85,Bagong Silangan,Asprer,"Area 6, Bgy. Bagong Silangan, Brgy. Bagong Silangan",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Area 6, Barangay Bagong Silangan, Barangay Bagong Silangan, Quezon City, Philippines",14.698957,121.0982875,#N/A,#N/A
86,Bagong Silangan,Covenant,"David St., Covenant Village, Brgy. Bagong Silangan",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","David Street, Covenant Village, Barangay Bagong Silangan, Quezon City, Philippines",14.70217907,121.109508,#N/A,#N/A
87,Bagong Silangan,Area 5,"Lot 1 Block 18, Baesang Pass St., Area 5, Sitio Veterans, Brgy. Bagong Silangan",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Lot 1 Block 18, Baesang Pass Street, Area 5, Sitio Veterans, Barangay Bagong Silangan, Quezon City, Philippines",14.7017153,121.110362,#N/A,#N/A
88,Bagong Silangan,Bakas,"052A Bakas Compound, Brgy. Bagong Silangan",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","052A Bakas Compound, Barangay Bagong Silangan, Quezon City, Philippines",14.7017153,121.110362,#N/A,#N/A
89,Bagong Silangan,Filside,"Lot Block 6, Filside Homes, Brgy. Bagong Silangan",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Lot Block 6, Filside Homes, Barangay Bagong Silangan, Quezon City, Philippines",14.698957,121.0982875,#N/A,#N/A
90,Bagong Silangan,Rolling Hills,"Purok 7, Sitio Rolling Hills (Boundary QC & Montalban)",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Purok 7, Sitio Rolling Hills (Boundary QC & Montalban), Quezon City, Philippines",14.6884313,121.0745333,#N/A,#N/A
91,Payatas A,Springfield,"Springfield St., Brgy. Payatas",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Springfield Street, Barangay Payatas, Quezon City, Philippines",14.7186371,121.1075963,#N/A,#N/A
92,Payatas A,Sto. Niño De Payatas I,"Ground floor, SÑDP CDC, Sto. Niño De Payatas St., Brgy. Payatas",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Ground floor, SÑDP CDC, Sto. Niño De Payatas Street, Barangay Payatas, Quezon City, Philippines",14.7186371,121.1075963,#N/A,#N/A
93,Payatas A,Sto. Niño De Payatas II,"Second floor, SÑDP CDC, Sto. Niño De Payatas St., Brgy. Payatas",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Second floor, SÑDP CDC, Sto. Niño De Payatas Street, Barangay Payatas, Quezon City, Philippines",14.7186371,121.1075963,#N/A,#N/A
94,Payatas A,Azucena,"Azucena St., Brgy. Payatas",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Azucena Street, Barangay Payatas, Quezon City, Philippines",14.7186371,121.1075963,#N/A,#N/A
95,Payatas A,Upper Everlasting,"Upper Everlasting, Brgy. Payatas",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Upper Everlasting, Barangay Payatas, Quezon City, Philippines",14.7186371,121.1075963,#N/A,#N/A
96,Payatas A,Lower Everlasting,"Lower Everlasting (Sto. Niño Gala), Brgy. Payatas",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Lower Everlasting (Sto. Niño Gala), Barangay Payatas, Quezon City, Philippines",14.7186371,121.1075963,#N/A,#N/A
97,Payatas A,Banaba,"Banaba St., Brgy. Payatas",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Banaba Street, Barangay Payatas, Quezon City, Philippines",14.7186371,121.1075963,#N/A,#N/A
