name_original,address,address_clean,barangay,district,major_division,sub_division,category,source_reference,open_hours,close_hours,longitude,latitude,frequency_mon_fri,frequency_saturday,frequency_sunday,bus_route,data_source
"Prince Nikki School, Inc","#2718 Pinagkaisa St. Brgy Commonwealth , QC","2718 Pinagkaisa Street Barangay Commonwealth , Quezon City, Philippines",Commonwealth,2.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0906881,14.702503,,,,,Administrative data
Progeny Ardent School Inc.,"338 Leyte Gulf St., Area II, Vet. Viil., Holy Spirit, QC","338 Leyte Gulf Street, Area II, Vet. Viil., Holy Spirit, Quezon City, Philippines",Holy Spirit,2.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0702549,14.683702,,,,,Administrative data
Progeny Ardent School Inc.,"338 Leyte Gulf St., Area II, Vet. Viil., Holy Spirit, QC","338 Leyte Gulf Street, Area II, Vet. Viil., Holy Spirit, Quezon City, Philippines",Holy Spirit,2.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0702549,14.683702,,,,,Administrative data
Progeny Ardent School Inc.,"338 Leyte Gulf St., Area II, Vet. Viil., Holy Spirit, QC","338 Leyte Gulf Street, Area II, Vet. Viil., Holy Spirit, Quezon City, Philippines",Holy Spirit,2.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0702549,14.683702,,,,,Administrative data
Progressive Little Saints Lrng Ctr. Inc,"51 10th St., Rolling Hills Vill., Damayang Lagi, QC","51 10th Street, Rolling Hills Village, Damayang Lagi, Quezon City, Philippines",Damayan,1.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,,,,,,,Administrative data
Progressive Little Saints Lrng Ctr. Inc,"51 10th St., Rolling Hills Vill., Damayang Lagi, QC","51 10th Street, Rolling Hills Village, Damayang Lagi, Quezon City, Philippines",Damayan,1.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,,,,,,,Administrative data
Project 3 Elementary School,,,Duyan-duyan,3.0,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",,,121.0677732,14.6306614,,,,,Administrative data
Project 6 Special Science Elementary School,,,Project 6,1.0,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",,,121.0397709,14.662485,,,,,Administrative data
"Promise Land Christian School of Payatas, Inc","37 Luzon St., Lupang Pangako, Ph. 4, Area B, Payatas, Quezon City","37 Luzon Street, Lupang Pangako, Ph. 4, Area B, Payatas, Quezon City, Philippines",Payatas,2.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,,,,,,,Administrative data
"Promise Land Christian School of Payatas, Inc","37 Luzon St., Lupang Pangako, Ph. 4, Area B, Payatas, Quezon City","37 Luzon Street, Lupang Pangako, Ph. 4, Area B, Payatas, Quezon City, Philippines",Payatas,2.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,,,,,,,Administrative data
"Promise Land Christian School of Payatas, Inc","37 Luzon St., Lupang Pangako, Ph. 4, Area B, Payatas, Quezon City","37 Luzon Street, Lupang Pangako, Ph. 4, Area B, Payatas, Quezon City, Philippines",Payatas,2.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,,,,,,,Administrative data
"Promise Land Christian School of Payatas, Inc","37 Luzon St., Lupang Pangako, Ph. 4, Area B, Payatas, Quezon City","37 Luzon Street, Lupang Pangako, Ph. 4, Area B, Payatas, Quezon City, Philippines",Payatas,2.0,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,,,,,,,Administrative data
Pugad Lawin HS,,,Bahay Toro,1.0,Schools,Public,High school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",,,121.0164961,14.664688,,,,,Administrative data
Pura V. Kalaw ES,,,Milagrosa,3.0,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",,,121.0679518,14.6213937,,,,,Administrative data
