,name_original,address,address_clean,barangay,district,major_division,sub_division,category,source_reference,open_hours,close_hours,longitude,latitude,frequency_mon_fri,frequency_saturday,frequency_sunday,bus_route,data_source
175,Bonifacio,"2/F BPSO Building, Brgy. Hall Compound, A. Bonifacio St. Brgy. Sta. Lucia Ave.","2/F BPSO Building, Barangay Hall Compound, A. Bonifacio Street Barangay Sta. Lucia Avenue, Quezon City, Philippines",Sta. Lucia,5,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0532934,14.7065534,#N/A,#N/A,#N/A,#N/A,Administrative data
177,Botanical,128 Orchid St. Brgy. Central,"128 Orchid Street Barangay Central, Quezon City, Philippines",Central,4,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0511412,14.6426348,#N/A,#N/A,#N/A,#N/A,Administrative data
178,Botocan,"Brgy. Botocan Brgy. Hall, Makadios St.","Barangay Botocan Barangay Hall, Makadios Street, Quezon City, Philippines",Botocan,4,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.062907,14.6368521,#N/A,#N/A,#N/A,#N/A,Administrative data
192,"bridges foundation, inc.","22, sct. limbaga, laging handa, quezon city, davao oriental, 1103","22, sct. limbaga, laging handa, quezon city, davao oriental, 1103, Philippines",Laging Handa,4,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,4:00PM,121.0320766,14.6329366,#N/A,#N/A,#N/A,#N/A,Administrative data
208,Bukal ng Pag-asa,"21 Florencia West SFDM
Multipurpose Hall","21 Florencia West SFDM
Multipurpose Hall, Quezon City, Philippines",Del Monte,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0137002,14.6418322,#N/A,#N/A,#N/A,#N/A,Administrative data
210,Bungad I,Sanches St. cor. Supnet St.,"Sanches Street corner Supnet Street, Quezon City, Philippines",Bungad,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0244945,14.6508248,#N/A,#N/A,#N/A,#N/A,Administrative data
211,Bungad II,Sanches.St.corner Supnet St.,"Sanches.Streetcorner Supnet Street, Quezon City, Philippines",Bungad,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0245975,14.6508985,#N/A,#N/A,#N/A,#N/A,Administrative data
214,Calderon,"251 Calderon St., Brgy. Matandang Balara","251 Calderon Street, Barangay Matandang Balara, Quezon City, Philippines",Matandang Balara,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0769241,14.6684892,#N/A,#N/A,#N/A,#N/A,Administrative data
216,cambridge children's learning & development inc.,"l9 b176, commonwealth ave., north fairview, quezon city, ncr, 1121","l9 b176, commonwealth Avenue, north fairview, quezon city, ncr, 1121, Philippines",Commonwealth,2,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,5:19AM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
222,Camp Aguinaldo,"General Lim St., Brgy. Camp Aguinaldo","General Lim Street, Barangay Camp Aguinaldo, Quezon City, Philippines",Camp Aguinaldo,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0615013,14.6020744,#N/A,#N/A,#N/A,#N/A,Administrative data
