,name_original,address,address_clean,barangay,district,major_division,sub_division,category,source_reference,open_hours,close_hours,longitude,latitude,frequency_mon_fri,frequency_saturday,frequency_sunday,bus_route,data_source
1118,Olympian Preparatory and English School,"L2B179 Geneva Gardens, Mind. Ave. Ext., Neopolitan, N. Fairview, QC","L2B179 Geneva Gardens, Mind. Avenue Extension, Neopolitan, N. Fairview, Quezon City, Philippines",Fairview,5,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.065041,14.6992403,#N/A,#N/A,#N/A,#N/A,Administrative data
1119,Operational Brotherhood Mont. Center-Fairview,"Napoli St. Neopolitan IV, Brittany Subd., Fairview, QC","Napoli Street Neopolitan IV, Brittany Subdivision, Fairview, Quezon City, Philippines",Fairview,5,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.065041,14.6992403,#N/A,#N/A,#N/A,#N/A,Administrative data
1120,Operational Brotherhood Mont. Center-Fairview,"Napoli St. Neopolitan IV, Brittany Subd., Fairview, QC","Napoli Street Neopolitan IV, Brittany Subdivision, Fairview, Quezon City, Philippines",Fairview,5,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.065041,14.6992403,#N/A,#N/A,#N/A,#N/A,Administrative data
1121,"Oriole Learning School, Inc.","#57 Oriole St., Area 2, Vet., Brgy. B. Silangan, QC","57 Oriole Street, Area 2, Vet., Barangay B. Silangan, Quezon City, Philippines",Silangan,3,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1122,"Oriole Learning School, Inc.","#57 Oriole St., Area 2, Vet., Brgy. B. Silangan, QC","57 Oriole Street, Area 2, Vet., Barangay B. Silangan, Quezon City, Philippines",Silangan,3,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1123,"Oriole Learning School, Inc.","#57 Oriole St., Area 2, Vet., Brgy. B. Silangan, QC","57 Oriole Street, Area 2, Vet., Barangay B. Silangan, Quezon City, Philippines",Silangan,3,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1125,Our Lady of Carmelite Academy,"Adarna St., Brgy Commonwealth, QC","Adarna Street, Barangay Commonwealth, Quezon City, Philippines",Commonwealth,2,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0769507,14.6954125,#N/A,#N/A,#N/A,#N/A,Administrative data
1126,Our Lady of Carmelite Academy,"Adarna St., Brgy Commonwealth, QC","Adarna Street, Barangay Commonwealth, Quezon City, Philippines",Commonwealth,2,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0769507,14.6954125,#N/A,#N/A,#N/A,#N/A,Administrative data
1127,Our Lady of Carmelite Academy,"Adarna St., Brgy Commonwealth, QC","Adarna Street, Barangay Commonwealth, Quezon City, Philippines",Commonwealth,2,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0769507,14.6954125,#N/A,#N/A,#N/A,#N/A,Administrative data
1128,Our Lady of Carmelite Academy,"Adarna St., Brgy Commonwealth, QC","Adarna Street, Barangay Commonwealth, Quezon City, Philippines",Commonwealth,2,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0769507,14.6954125,#N/A,#N/A,#N/A,#N/A,Administrative data
1129,Our Lady of Fatima University,"1 Esperanza St., Hilltop Mansion, Lagro, QC","1 Esperanza Street, Hilltop Mansion, Lagro, Quezon City, Philippines",Greater Lagro,5,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0631906,14.7275742,#N/A,#N/A,#N/A,#N/A,Administrative data
1130,"Our Lady of Grace Mediatrix School of QC., Inc.","Grp V Legaspi St., Phase I, Lupang Pangako, Payatas","Grp V Legaspi Street, Phase I, Lupang Pangako, Payatas, Quezon City, Philippines",Payatas,2,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1131,"Our Lady of Grace Mediatrix School of QC., Inc.","Grp V Legaspi St., Phase I, Lupang Pangako, Payatas","Grp V Legaspi Street, Phase I, Lupang Pangako, Payatas, Quezon City, Philippines",Payatas,2,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1132,"Our Lady of Grace Mediatrix School of QC., Inc.","Grp V Legaspi St., Phase I, Lupang Pangako, Payatas","Grp V Legaspi Street, Phase I, Lupang Pangako, Payatas, Quezon City, Philippines",Payatas,2,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1133,"Our Lady of Grace Mediatrix School of QC., Inc.","Grp V Legaspi St., Phase I, Lupang Pangako, Payatas","Grp V Legaspi Street, Phase I, Lupang Pangako, Payatas, Quezon City, Philippines",Payatas,2,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1134,"Our Lady of Hope Parochial School, Inc.","137 Road I, Bagong Pag-asa, QC","137 Road I, Bagong Pag-asa, Quezon City, Philippines",Bagong Pag-asa,1,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.035138,14.6625147,#N/A,#N/A,#N/A,#N/A,Administrative data
1135,"Our Lady of Hope Parochial School, Inc.","137 Road I, Bagong Pag-asa, QC","137 Road I, Bagong Pag-asa, Quezon City, Philippines",Bagong Pag-asa,1,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.035138,14.6625147,#N/A,#N/A,#N/A,#N/A,Administrative data
1136,Our Lady of Lourdes Kindergarten School,"D. Tuazon St., Brgy. Lourdes, Quezon City","D. Tuazon Street, Barangay Lourdes, Quezon City, Philippines",Lourdes,1,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1137,"Our Lady of Lourdes School of Novaliches (OLLSN), Inc.","9 Nightingale St., Brgy. Kaligayahan, Nova., QC.","9 Nightingale Street, Barangay Kaligayahan, Nova., Quezon City., Philippines",Kaligayahan,5,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0526091,14.7345839,#N/A,#N/A,#N/A,#N/A,Administrative data
1138,"Our Lady of Lourdes School of Novaliches (OLLSN), Inc.","9 Nightingale St., Brgy. Kaligayahan, Nova., QC.","9 Nightingale Street, Barangay Kaligayahan, Nova., Quezon City., Philippines",Kaligayahan,5,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0526091,14.7345839,#N/A,#N/A,#N/A,#N/A,Administrative data
1139,"Our Lady of Lourdes School of Novaliches (OLLSN), Inc.","9 Nightingale St., Brgy. Kaligayahan, Nova., QC.","9 Nightingale Street, Barangay Kaligayahan, Nova., Quezon City., Philippines",Kaligayahan,5,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0526091,14.7345839,#N/A,#N/A,#N/A,#N/A,Administrative data
1140,"Our Lady of Lourdes School of Novaliches (OLLSN), Inc.","9 Nightingale St., Brgy. Kaligayahan, Nova., QC.","9 Nightingale Street, Barangay Kaligayahan, Nova., Quezon City., Philippines",Kaligayahan,5,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0526091,14.7345839,#N/A,#N/A,#N/A,#N/A,Administrative data
1141,"Our Lady of Lourdes Technological College, Inc","105 Gen Luis St., Brgy. Nagkaisang Nayon, Nova., QC","105 Gen Luis Street, Barangay Nagkaisang Nayon, Nova., Quezon City, Philippines",Nagkaisang Nayon,5,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0282649,14.7206856,#N/A,#N/A,#N/A,#N/A,Administrative data
1142,Our Lady of Mercy School of Q.C.,"Comm. Ave., Cor. J.P Rizal, Brgy Batasan Hills, QC","Comm. Avenue, corner J.P Rizal, Barangay Batasan Hills, Quezon City, Philippines",Batasan Hills,2,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1143,Our Lady of Mercy School of Q.C.,"Comm. Ave., Cor. J.P Rizal, Brgy Batasan Hills, QC","Comm. Avenue, corner J.P Rizal, Barangay Batasan Hills, Quezon City, Philippines",Batasan Hills,2,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1144,Our Lady of Mercy School of Q.C.,"Comm. Ave., Cor. J.P Rizal, Brgy Batasan Hills, QC","Comm. Avenue, corner J.P Rizal, Barangay Batasan Hills, Quezon City, Philippines",Batasan Hills,2,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1145,Our Lady of Mercy School of Q.C.,"Comm. Ave., Cor. J.P Rizal, Brgy Batasan Hills, QC","Comm. Avenue, corner J.P Rizal, Barangay Batasan Hills, Quezon City, Philippines",Batasan Hills,2,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1146,Our Lady of the Sacred Heart School,"Plaridel St., Doña Aurora, Quezon City","Plaridel Street, Doña Aurora, Quezon City, Philippines",Doña Aurora,4,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0097475,14.6147311,#N/A,#N/A,#N/A,#N/A,Administrative data
1147,Our Lady of the Sacred Heart School,"Plaridel St., Doña Aurora, Quezon City","Plaridel Street, Doña Aurora, Quezon City, Philippines",Doña Aurora,4,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0097475,14.6147311,#N/A,#N/A,#N/A,#N/A,Administrative data
1148,Our Lady of the Sacred Heart School,"Plaridel St., Doña Aurora, Quezon City","Plaridel Street, Doña Aurora, Quezon City, Philippines",Doña Aurora,4,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0097475,14.6147311,#N/A,#N/A,#N/A,#N/A,Administrative data
1149,Our Lady of the Sacred Heart School,"Plaridel St., Doña Aurora, Quezon City","Plaridel Street, Doña Aurora, Quezon City, Philippines",Doña Aurora,4,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0097475,14.6147311,#N/A,#N/A,#N/A,#N/A,Administrative data
1150,Our Lady of Victories Catholic School of Quezon City,"2 Cannon Rd. New Manila, Quezon City","2 Cannon Road New Manila, Quezon City, Philippines",#N/A,4,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0393331,14.6216014,#N/A,#N/A,#N/A,#N/A,Administrative data
1151,Our Lady of Victories Catholic School of Quezon City,"2 Cannon Rd. New Manila, Quezon City","2 Cannon Road New Manila, Quezon City, Philippines",#N/A,4,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0393331,14.6216014,#N/A,#N/A,#N/A,#N/A,Administrative data
1152,Our Lady of Victories Catholic School of Quezon City,"2 Cannon Rd. New Manila, Quezon City","2 Cannon Road New Manila, Quezon City, Philippines",#N/A,4,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0393331,14.6216014,#N/A,#N/A,#N/A,#N/A,Administrative data
1153,Our Lady of Victories Catholic School of Quezon City,"2 Cannon Rd. New Manila, Quezon City","2 Cannon Road New Manila, Quezon City, Philippines",#N/A,4,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0393331,14.6216014,#N/A,#N/A,#N/A,#N/A,Administrative data
1154,Our Lord Savior Academy,"120 Muñoz St., Talanay B., Batasan Hills, QC","120 Muñoz Street, Talanay B., Batasan Hills, Quezon City, Philippines",Batasan Hills,2,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1155,Our Lord Savior Academy,"120 Muñoz St., Talanay B., Batasan Hills, QC","120 Muñoz Street, Talanay B., Batasan Hills, Quezon City, Philippines",Batasan Hills,2,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1156,Our Lord Savior Academy,"120 Muñoz St., Talanay B., Batasan Hills, QC","120 Muñoz Street, Talanay B., Batasan Hills, Quezon City, Philippines",Batasan Hills,2,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1160,pace academy inc.,"77, sgt. e rivera st., manresa, quezon city, ncr, 1115","77, sgt. e rivera Street, manresa, quezon city, ncr, 1115, Philippines",Manresa,1,Schools,Private,Private school,"QC Future Ready dashboard, Schools",7:00AM,4:00PM,121.004885,14.6421762,#N/A,#N/A,#N/A,#N/A,Administrative data
1161,"pace academy talayan, inc.","126, talayan st., talayan, quezon city, ncr, 1104","126, talayan Street, talayan, quezon city, ncr, 1104, Philippines",Talayan,1,Schools,Private,Private school,"QC Future Ready dashboard, Schools",7:00AM,4:00PM,121.0110661,14.6377641,#N/A,#N/A,#N/A,#N/A,Administrative data
1162,"PACE Academy, Inc.","77 Sgt. Rivera, Brgy. Manresa, Quezon City","77 Sgt. Rivera, Barangay Manresa, Quezon City, Philippines",Manresa,1,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,120.9976647,14.6443722,#N/A,#N/A,#N/A,#N/A,Administrative data
1163,"PACE Academy, Inc.","77 Sgt. Rivera, Brgy. Manresa, Quezon City","77 Sgt. Rivera, Barangay Manresa, Quezon City, Philippines",Manresa,1,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,120.9976647,14.6443722,#N/A,#N/A,#N/A,#N/A,Administrative data
1164,"PACE Academy, Inc.","77 Sgt. Rivera, Brgy. Manresa, Quezon City","77 Sgt. Rivera, Barangay Manresa, Quezon City, Philippines",Manresa,1,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,120.9976647,14.6443722,#N/A,#N/A,#N/A,#N/A,Administrative data
1165,"PACE Academy, Inc.","77 Sgt. Rivera, Brgy. Manresa, Quezon City","77 Sgt. Rivera, Barangay Manresa, Quezon City, Philippines",Manresa,1,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,120.9976647,14.6443722,#N/A,#N/A,#N/A,#N/A,Administrative data
1167,"Pail and Shovel Integrated School, Inc.","107 14th Ave., Brgy. Socorro, Cubao, QC","107 14th Avenue, Barangay Socorro, Cubao, Quezon City, Philippines",Socorro,3,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0601467,14.6169628,#N/A,#N/A,#N/A,#N/A,Administrative data
1168,"Pail and Shovel Integrated School, Inc.","107 14th Ave., Brgy. Socorro, Cubao, QC","107 14th Avenue, Barangay Socorro, Cubao, Quezon City, Philippines",Socorro,3,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0601467,14.6169628,#N/A,#N/A,#N/A,#N/A,Administrative data
1169,"Pail and Shovel Integrated School, Inc.","107 14th Ave., Brgy. Socorro, Cubao, QC","107 14th Avenue, Barangay Socorro, Cubao, Quezon City, Philippines",Socorro,3,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0601467,14.6169628,#N/A,#N/A,#N/A,#N/A,Administrative data
1170,"Pail and Shovel Integrated School, Inc.","107 14th Ave., Brgy. Socorro, Cubao, QC","107 14th Avenue, Barangay Socorro, Cubao, Quezon City, Philippines",Socorro,3,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0601467,14.6169628,#N/A,#N/A,#N/A,#N/A,Administrative data
1175,Paltok ES,#N/A,#N/A,Paltok,1,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",#N/A,#N/A,121.022366,14.643015,#N/A,#N/A,#N/A,#N/A,Administrative data
1177,"PAREF-Preschool, Inc.","Unit 142 Grd Flr, MPlace Mall, 116 Panay Ave.., Brgy. South Triangle, QC","Unit 142 Grd Flr, MPlace Mall, 116 Panay Avenue., Barangay South Triangle, Quezon City, Philippines",South Triangle,4,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0327485,14.6400747,#N/A,#N/A,#N/A,#N/A,Administrative data
1180,Pasong Tamo ES,#N/A,#N/A,Pasong Tamo,6,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",#N/A,#N/A,121.0468205,14.6740307,#N/A,#N/A,#N/A,#N/A,Administrative data
1181,Payatas B Elementary School,#N/A,#N/A,Payatas,2,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",#N/A,#N/A,121.0941192,14.7136124,#N/A,#N/A,#N/A,#N/A,Administrative data
1182,Payatas C Elementary School,#N/A,#N/A,Payatas,2,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",#N/A,#N/A,121.0978536,14.7142978,#N/A,#N/A,#N/A,#N/A,Administrative data
1183,Peacemaker International Christian Aca.,"IBP Rd., Eastside, Batasan, QC","IBP Road, Eastside, Batasan, Quezon City, Philippines",Batasan Hills,2,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0937011,14.6892445,#N/A,#N/A,#N/A,#N/A,Administrative data
1184,Peacemaker International Christian Aca.,"IBP Rd., Eastside, Batasan, QC","IBP Road, Eastside, Batasan, Quezon City, Philippines",Batasan Hills,2,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0937011,14.6892445,#N/A,#N/A,#N/A,#N/A,Administrative data
1185,Peacemaker International Christian Aca.,"IBP Rd., Eastside, Batasan, QC","IBP Road, Eastside, Batasan, Quezon City, Philippines",Batasan Hills,2,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0937011,14.6892445,#N/A,#N/A,#N/A,#N/A,Administrative data
1186,Peacemaker International Christian Aca.,"IBP Rd., Eastside, Batasan, QC","IBP Road, Eastside, Batasan, Quezon City, Philippines",Batasan Hills,2,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0937011,14.6892445,#N/A,#N/A,#N/A,#N/A,Administrative data
1187,Peacemaker International Christian Aca.-Branch,"Falconet St., Area 3 Sitio Veterans, Brgy Bagong Silangan, QC","Falconet Street, Area 3 Sitio Veterans, Barangay Bagong Silangan, Quezon City, Philippines",Bagong Silangan,2,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.1041857,14.7069215,#N/A,#N/A,#N/A,#N/A,Administrative data
1188,Peacemaker International Christian Aca.-Branch,"Falconet St., Area 3 Sitio Veterans, Brgy Bagong Silangan, QC","Falconet Street, Area 3 Sitio Veterans, Barangay Bagong Silangan, Quezon City, Philippines",Bagong Silangan,2,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.1041857,14.7069215,#N/A,#N/A,#N/A,#N/A,Administrative data
1189,Peacemaker International Christian Aca.-Branch,"Falconet St., Area 3 Sitio Veterans, Brgy Bagong Silangan, QC","Falconet Street, Area 3 Sitio Veterans, Barangay Bagong Silangan, Quezon City, Philippines",Bagong Silangan,2,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.1041857,14.7069215,#N/A,#N/A,#N/A,#N/A,Administrative data
1190,Peacemaker International Christian Aca.-Branch,"Falconet St., Area 3 Sitio Veterans, Brgy Bagong Silangan, QC","Falconet Street, Area 3 Sitio Veterans, Barangay Bagong Silangan, Quezon City, Philippines",Bagong Silangan,2,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.1041857,14.7069215,#N/A,#N/A,#N/A,#N/A,Administrative data
1194,"Pediamorphosis House, Inc.","51 Rosa Alvaro St., Loyola Hts. QC","51 Rosa Alvaro Street, Loyola Hts. Quezon City, Philippines",Loyola Heights,3,Schools,Private,Special Education Program,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.070035,14.6375483,#N/A,#N/A,#N/A,#N/A,Administrative data
1195,Pedro Tuason SHS (Stand Alone),#N/A,#N/A,Bagong Lipunan ng Crame,4,Schools,Public,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",#N/A,#N/A,121.0484484,14.6141004,#N/A,#N/A,#N/A,#N/A,Administrative data
1196,"People of Grace Christian Schools Foundation, Inc.","58 Kamuning Rd. cor. J. Jimenez, Brgy. Kamuning, QC","58 Kamuning Road corner J. Jimenez, Barangay Kamuning, Quezon City, Philippines",Kamuning,4,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0389108,14.6284951,#N/A,#N/A,#N/A,#N/A,Administrative data
1197,"People of Grace Christian Schools Foundation, Inc.","58 Kamuning Rd. cor. J. Jimenez, Brgy. Kamuning, QC","58 Kamuning Road corner J. Jimenez, Barangay Kamuning, Quezon City, Philippines",Kamuning,4,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0389108,14.6284951,#N/A,#N/A,#N/A,#N/A,Administrative data
1198,"People of Grace Christian Schools Foundation, Inc.","58 Kamuning Rd. cor. J. Jimenez, Brgy. Kamuning, QC","58 Kamuning Road corner J. Jimenez, Barangay Kamuning, Quezon City, Philippines",Kamuning,4,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0389108,14.6284951,#N/A,#N/A,#N/A,#N/A,Administrative data
1199,"People of Grace Christian Schools Foundation, Inc.","58 Kamuning Rd. cor. J. Jimenez, Brgy. Kamuning, QC","58 Kamuning Road corner J. Jimenez, Barangay Kamuning, Quezon City, Philippines",Kamuning,4,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0389108,14.6284951,#N/A,#N/A,#N/A,#N/A,Administrative data
1200,Perpetual Help Learning Academy of Q.C.,"# 7 Wayan St., Masambong, QC","7 Wayan Street, Masambong, Quezon City, Philippines",Masambong,1,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0088867,14.6402871,#N/A,#N/A,#N/A,#N/A,Administrative data
1201,Perpetual Help Learning Academy of Q.C.,"# 7 Wayan St., Masambong, QC","7 Wayan Street, Masambong, Quezon City, Philippines",Masambong,1,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0088867,14.6402871,#N/A,#N/A,#N/A,#N/A,Administrative data
1202,Perpetual Help Learning Academy of Q.C.,"# 7 Wayan St., Masambong, QC","7 Wayan Street, Masambong, Quezon City, Philippines",Masambong,1,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0088867,14.6402871,#N/A,#N/A,#N/A,#N/A,Administrative data
1203,Perpetual Help Learning Academy of Q.C.,"# 7 Wayan St., Masambong, QC","7 Wayan Street, Masambong, Quezon City, Philippines",Masambong,1,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0088867,14.6402871,#N/A,#N/A,#N/A,#N/A,Administrative data
1204,"PETITE GRAINE PRESCHOOL, INC.","Eastwood Le Grand Tower 3, Ground Floor, Unit 14-18 Weastwood City, Brgy Bagumbayan, QC","Eastwood Le Grand Tower 3, Ground Floor, Unit 14-18 Weastwood City, Barangay Bagumbayan, Quezon City, Philippines",Bagumbayan,3,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0808146,14.6077702,#N/A,#N/A,#N/A,#N/A,Administrative data
1209,Philippine Association of University Women-Up Child Study Center Inc.,"P. Tavera, Tabujana Hall, Area 14, UP, QC","P. Tavera, Tabujana Hall, Area 14, UP, Quezon City, Philippines",#N/A,4,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.065041,14.6578369,#N/A,#N/A,#N/A,#N/A,Administrative data
1210,Philippine Association of University Women-Up Child Study Center Inc.,"P. Tavera, Tabujana Hall, Area 14, UP, QC","P. Tavera, Tabujana Hall, Area 14, UP, Quezon City, Philippines",#N/A,4,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.065041,14.6578369,#N/A,#N/A,#N/A,#N/A,Administrative data
1211,"Philippine Institute of Quezon City, Inc.","62 Kitanlad St., Brgy. Doña Josefa, Quezon City","62 Kitanlad Street, Barangay Doña Josefa, Quezon City, Philippines",Doña Josefa,4,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0088707,14.6189609,#N/A,#N/A,#N/A,#N/A,Administrative data
1212,"Philippine Institute of Quezon City, Inc.","62 Kitanlad St., Brgy. Doña Josefa, Quezon City","62 Kitanlad Street, Barangay Doña Josefa, Quezon City, Philippines",Doña Josefa,4,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0088707,14.6189609,#N/A,#N/A,#N/A,#N/A,Administrative data
