barangay,center_name,address,district,latitude,longitude
U.P. Campus,Amorsolo,"Barangay Hall Compd., Pook Amorsolo Brgy. UP Campus",District 4,14.654307875421697,121.06426562851439
U.P. Campus,Amorsolo II,"Barangay Hall Compd., Pook Amorsolo Brgy. UP Campus",District 4,14.654307875421697,121.06426562851439
U.P. Campus,Pook Village B,Pook Village B Brgy. UP Campus,District 4,14.654307875421697,121.06426562851439
U.P. Campus,Pook Libis,Pook Libis Brgy. UP Campus,District 4,14.654307875421697,121.06426562851439
U.P. Campus,Pook Daang Tubo,Pook Daang Tubo Brgy. UP Campus,District 4,14.654307875421697,121.06426562851439
Central,Forestry,BFD Compound Brgy. Central,District 4,14.646306998262187,121.04863343840385
Central,Kalayaan,#81 Kalayaan Ave. Brgy. Central,District 4,14.646306998262187,121.04863343840385
Central,Botanical,128 Orchid St. Brgy. Central,District 4,14.646306998262187,121.04863343840385
Central,Quezon City Yakap,"QC Hall Compound, Brgy. Central (Back of QC Public Library)",District 4,14.646306998262187,121.04863343840385
Krus na Ligas,KNL-CDO,V. Francisco St. (beside KNL High School) Brgy. Krus Na Ligas,District 4,14.64246745091116,121.06311876267155
Krus na Ligas,Sitio Lambak,Flores St. Brgy. Krus Na Ligas,District 4,14.64246745091116,121.06311876267155
Krus na Ligas,Kabalitang,Kabalitang St. Brgy. Krus Na Ligas,District 4,14.64246745091116,121.06311876267155
Botocan,Botocan,"Brgy. Botocan Brgy. Hall, Makadios St.",District 4,14.636425630802774,121.06262213706542
Malaya,Malaya,"Brgy. Malaya Brgy. Hall, Matahimik St.",District 4,14.63601387784135,121.05561152508278
Pinyahan,Pinyahan Proper,"#35 Malakas St. Brgy. Hall Compd., Brgy. Pinyahan",District 4,14.637909672929842,121.04710851905813
Greater Lagro,Greater Lagro I,"1st floor Greater Largo Daycare Center Building, Ascension Rd., Greater Lagro Subd. Brgy. Greater Lagro",District 5,14.725465007567777,121.06177280365941
Greater Lagro,Greater Lagro II,"2nd floor Greater Largo Daycare Center Building, Ascension Rd., Greater Lagro Subd. Brgy. Greater Lagro",District 5,14.725465007567777,121.06177280365941
Pasong Putik Proper,SAMAPINA,"Block 1 Lot 60 Sampaguita St. Maligaya Park, Brgy. Pasong Putik Proper",District 5,14.735006119425236,121.06011733652764
Pasong Putik Proper,Pechayan,"Block 31 Lot 23 Ilang-Ilang St. Pechayan Kanan, Maligaya Park, Brgy. Pasong Putik",District 5,14.735006119425236,121.06011733652764
North Fairview,Milenyo,"Milenyo Daycare Center Building, Milenyo St. Phase 8-I, Brgy. North Fairview",District 5,14.712578649608357,121.06118431212
North Fairview,Avon,"13-A Avon St., North Fairview Subd., Brgy. North Fairview",District 5,14.712578649608357,121.06118431212
North Fairview,NAMAPA,"NAMAPA Compound, Brgy. North Fairview",District 5,14.712578649608357,121.06118431212
North Fairview,Phase 8-I,"1st Floor Daycare and Livelihood Center Building, Peso St., United North Fairview Subd., Brgy. North Fairview",District 5,14.712578649608357,121.06118431212
North Fairview,Phase 8-II,"2nd Floor Daycare and Livelihood Center Building, Peso St., United North Fairview Subd., Brgy. North Fairview",District 5,14.712578649608357,121.06118431212
Fairview,Fairview,"Ground floor Vargas Hall, Barangay Hall Complex, Dahlia St., Brgy. Fairview",District 5,14.702494477300986,121.06891136149652
Fairview,Sitio Ruby,"Sitio Ruby St. SERNAI East Fairview, Brgy. Fairview",District 5,14.702494477300986,121.06891136149652
Fairview,MMTC,"Basilio St., cor Republic Ave., Brgy. Fairview",District 5,14.702494477300986,121.06891136149652
Fairview,Sitio Kislap,"Sitio Kislap Pearl St, Brgy. Fairview",District 5,14.702494477300986,121.06891136149652
Fairview,Sitio Urlina,Sitio Urlina Lilac St. Brgy. Fairview,District 5,14.702494477300986,121.06891136149652
Fairview,SAPAMANAI,"2nd Floor SAPAMANAI Bldg., Molave St. cor Mahogany St. Brgy Fairview",District 5,14.702494477300986,121.06891136149652
Fairview,Sitio RABOSNA,"14 Ruby St Sitio Rabosna, Brgy. Fairview",District 5,14.702494477300986,121.06891136149652
Kaligayahan,Kingfisher,Kingfisher St. Zabarte Subd. Brgy. Kaligayahan (beside Kaligayahan Health Center),District 5,14.73462079197254,121.04604649872279
