barangay,district,Indicator,Total,In Flood Zone,% under flood risk
E. Rodriguez,DISTRICT 3,Elderly (60+),1581,343,21.7
East Kamias,DISTRICT 3,Elderly (60+),583,259,44.43
Escopa 1,DISTRICT 3,Elderly (60+),192,0,0.0
Escopa 2,DISTRICT 3,Elderly (60+),178,0,0.0
Escopa 3,DISTRICT 3,Elderly (60+),848,0,0.0
Escopa 4,DISTRICT 3,Elderly (60+),194,0,0.0
Fairview,DISTRICT 5,Elderly (60+),5622,766,13.63
Greater Lagro,DISTRICT 5,Elderly (60+),2142,164,7.66
Gulod,DISTRICT 5,Elderly (60+),5708,2160,37.84
Holy Spirit,DISTRICT 2,Elderly (60+),10209,963,9.43
Horseshoe,DISTRICT 4,Elderly (60+),260,58,22.31
Immaculate Concepcion,DISTRICT 4,Elderly (60+),730,144,19.73
Kaligayahan,DISTRICT 5,Elderly (60+),5505,360,6.54
Kalusugan,DISTRICT 4,Elderly (60+),434,217,50.0
Kamuning,DISTRICT 4,Elderly (60+),1106,379,34.27
Katipunan,DISTRICT 1,Elderly (60+),969,953,98.35
Kaunlaran,DISTRICT 4,Elderly (60+),1107,47,4.25
Kristong Hari,DISTRICT 4,Elderly (60+),546,234,42.86
Krus na Ligas,DISTRICT 4,Elderly (60+),1926,0,0.0
Laging Handa,DISTRICT 4,Elderly (60+),441,18,4.08
Libis,DISTRICT 3,Elderly (60+),383,130,33.94
Lourdes,DISTRICT 1,Elderly (60+),404,29,7.18
Loyola Heights,DISTRICT 3,Elderly (60+),1914,521,27.22
Maharlika,DISTRICT 1,Elderly (60+),396,249,62.88
Malaya,DISTRICT 4,Elderly (60+),236,0,0.0
Mangga,DISTRICT 3,Elderly (60+),84,67,79.76
Manresa,DISTRICT 1,Elderly (60+),1573,407,25.87
Mariana,DISTRICT 4,Elderly (60+),1047,84,8.02
Mariblo,DISTRICT 1,Elderly (60+),312,208,66.67
Marilag,DISTRICT 3,Elderly (60+),1151,68,5.91
Masagana,DISTRICT 3,Elderly (60+),379,154,40.63
Masambong,DISTRICT 1,Elderly (60+),797,687,86.2
Matandang Balara,DISTRICT 3,Elderly (60+),6341,615,9.7
Milagrosa,DISTRICT 3,Elderly (60+),618,92,14.89
N. S. Amoranto (Gintong Silahis),DISTRICT 1,Elderly (60+),535,135,25.23
Nagkaisang Nayon,DISTRICT 5,Elderly (60+),4892,1061,21.69
Nayong Kanluran,DISTRICT 1,Elderly (60+),225,39,17.33
New Era,DISTRICT 6,Elderly (60+),1205,136,11.29
North Fairview,DISTRICT 5,Elderly (60+),4051,661,16.32
Novaliches Proper,DISTRICT 5,Elderly (60+),1410,563,39.93
Obrero,DISTRICT 4,Elderly (60+),867,165,19.03
Old Capitol Site,DISTRICT 4,Elderly (60+),121,71,58.68
Paang Bundok,DISTRICT 1,Elderly (60+),439,17,3.87
Pag-ibig sa Nayon,DISTRICT 1,Elderly (60+),541,0,0.0
Paligsahan,DISTRICT 4,Elderly (60+),322,30,9.32
Paltok,DISTRICT 1,Elderly (60+),1658,624,37.64
Pansol,DISTRICT 3,Elderly (60+),3257,175,5.37
Paraiso,DISTRICT 1,Elderly (60+),322,84,26.09
Pasong Putik Proper,DISTRICT 5,Elderly (60+),3611,428,11.85
Pasong Tamo,DISTRICT 6,Elderly (60+),10098,1974,19.55
Payatas,DISTRICT 2,Elderly (60+),12753,1134,8.89
Phil-Am,DISTRICT 1,Elderly (60+),229,19,8.3
Pinagkaisahan,DISTRICT 4,Elderly (60+),398,56,14.07
Pinyahan,DISTRICT 4,Elderly (60+),1988,132,6.64
Project 6,DISTRICT 1,Elderly (60+),1079,214,19.83
Quirino 2-A,DISTRICT 3,Elderly (60+),420,171,40.71
Quirino 2-B,DISTRICT 3,Elderly (60+),357,129,36.13
Quirino 2-C,DISTRICT 3,Elderly (60+),290,155,53.45
Quirino 3-A,DISTRICT 3,Elderly (60+),97,21,21.65
Ramon Magsaysay,DISTRICT 1,Elderly (60+),1311,165,12.59
Reservoir,,Elderly (60+),602,72,11.96
Roxas,DISTRICT 4,Elderly (60+),970,258,26.6
Sacred Heart,DISTRICT 4,Elderly (60+),557,10,1.8
Salvacion,DISTRICT 1,Elderly (60+),610,59,9.67
San Agustin,DISTRICT 5,Elderly (60+),2317,219,9.45
San Antonio,DISTRICT 1,Elderly (60+),2030,850,41.87
San Bartolome,DISTRICT 5,Elderly (60+),4663,1001,21.47
San Isidro,DISTRICT 4,Elderly (60+),605,48,7.93
San Isidro Labrador,DISTRICT 1,Elderly (60+),570,65,11.4
San Jose,DISTRICT 1,Elderly (60+),534,24,4.49
San Martin de Porres,DISTRICT 4,Elderly (60+),1068,88,8.24
San Roque,DISTRICT 3,Elderly (60+),1740,136,7.82
San Vicente,DISTRICT 4,Elderly (60+),650,380,58.46
Sangandaan,DISTRICT 6,Elderly (60+),1916,489,25.52
Santol,DISTRICT 4,Elderly (60+),587,200,34.07
Sauyo,DISTRICT 6,Elderly (60+),6965,944,13.55
Sienna,DISTRICT 1,Elderly (60+),184,104,56.52
Sikatuna Village,DISTRICT 4,Elderly (60+),555,31,5.59
Silangan,DISTRICT 3,Elderly (60+),439,156,35.54
Socorro,DISTRICT 3,Elderly (60+),2030,61,3.0
South Triangle,DISTRICT 4,Elderly (60+),1322,227,17.17
St. Ignatius,DISTRICT 3,Elderly (60+),187,0,0.0
St. Peter,DISTRICT 1,Elderly (60+),370,230,62.16
Sta. Cruz,DISTRICT 1,Elderly (60+),360,141,39.17
Sta. Lucia,DISTRICT 5,Elderly (60+),2579,908,35.21
Sta. Monica,DISTRICT 5,Elderly (60+),4730,1687,35.67
Sta. Teresita,DISTRICT 1,Elderly (60+),1074,129,12.01
Sto. Cristo,DISTRICT 1,Elderly (60+),2352,522,22.19
Sto. Domingo (Matalahib),DISTRICT 1,Elderly (60+),1039,830,79.88
Sto. Niño,DISTRICT 4,Elderly (60+),653,0,0.0
Tagumpay,DISTRICT 3,Elderly (60+),208,104,50.0
Talayan,DISTRICT 1,Elderly (60+),401,361,90.02
Talipapa,DISTRICT 6,Elderly (60+),3527,630,17.86
Tandang Sora,DISTRICT 6,Elderly (60+),7590,1133,14.93
Tatalon,DISTRICT 4,Elderly (60+),5043,3969,78.7
Teachers Village East,DISTRICT 4,Elderly (60+),218,9,4.13
Teachers Village West,DISTRICT 4,Elderly (60+),272,17,6.25
U. P. Campus,DISTRICT 4,Elderly (60+),4318,525,12.16
U. P. Village,DISTRICT 4,Elderly (60+),288,7,2.43
Ugong Norte,DISTRICT 3,Elderly (60+),574,85,14.81
Unang Sigaw,DISTRICT 6,Elderly (60+),598,171,28.6
Valencia,DISTRICT 4,Elderly (60+),991,323,32.59
Vasra,DISTRICT 1,Elderly (60+),672,304,45.24
Veterans Village,DISTRICT 1,Elderly (60+),1158,161,13.9
Villa Maria Clara,DISTRICT 3,Elderly (60+),219,93,42.47
West Kamias,DISTRICT 3,Elderly (60+),369,230,62.33
West Triangle,DISTRICT 1,Elderly (60+),220,41,18.64
White Plains,DISTRICT 3,Elderly (60+),325,51,15.69
